Frozen II	0.853	http://www.wikidata.org/entity/Q24733929	animated film
Minions: The Rise of Gru	0.65	http://www.wikidata.org/entity/Q60997779	animated film
Spider-Man: Into the Spider-Verse	0.561	http://www.wikidata.org/entity/Q29588607	animated film
Puss in Boots: The Last Wish	0.511	http://www.wikidata.org/entity/Q31271384	animated film
The Grinch	0.357	http://www.wikidata.org/entity/Q15632949	animated film
Despicable Me 2	0.275	http://www.wikidata.org/entity/Q637212	animated film
DC League of Super-Pets	0.256	http://www.wikidata.org/entity/Q106953528	animated film
Hotel Transylvania: Transformania	0.135	http://www.wikidata.org/entity/Q65973230	animated film
Sing 2	0.073	http://www.wikidata.org/entity/Q30933418	animated film
DreamWorks Animation	-0.024	http://www.wikidata.org/entity/Q500088	animated film
Walt Disney Animation Studios	-0.067	http://www.wikidata.org/entity/Q1047410	animated film
Walt Disney	-0.1	http://www.wikidata.org/entity/Q8704	animated film
Turning Red	-0.182	http://www.wikidata.org/entity/Q104845027	animated film
The Bad Guys	-0.205	http://www.wikidata.org/entity/Q97288428	animated film
Studio Ghibli	-0.216	http://www.wikidata.org/entity/Q182950	animated film
Star Wars: The Clone Wars	-0.263	http://www.wikidata.org/entity/Q382289	animated film
The Addams Family	-0.333	http://www.wikidata.org/entity/Q54825652	animated film
Kvartal 95	-0.465	http://www.wikidata.org/entity/Q4444575	animated film
Star Trek: Prodigy	-0.513	http://www.wikidata.org/entity/Q65250765	animated film
Clancy Brown	-0.519	http://www.wikidata.org/entity/Q4488	animated film
