Илон Маск	0.583	http://www.wikidata.org/entity/Q317521	инженер
Ларри Пейдж	0.281	http://www.wikidata.org/entity/Q4934	инженер
Александр Валентинович Турчинов	0.25	http://www.wikidata.org/entity/Q15850	инженер
Роберт Оппенгеймер	0.219	http://www.wikidata.org/entity/Q132537	инженер
Бернар Арно	0.188	http://www.wikidata.org/entity/Q32055	инженер
Николай Платонович Патрушев	0.118	http://www.wikidata.org/entity/Q446865	инженер
Михаил Маратович Фридман	0.106	http://www.wikidata.org/entity/Q732142	инженер
Герберт Гувер	0.104	http://www.wikidata.org/entity/Q35236	инженер
Михаил Владимирович Мишустин	-0.011	http://www.wikidata.org/entity/Q4298520	инженер
Леонид Данилович Кучма	-0.104	http://www.wikidata.org/entity/Q629702	инженер
Джимми Картер	-0.125	http://www.wikidata.org/entity/Q23685	инженер
Виктор Фёдорович Янукевич	-0.188	http://www.wikidata.org/entity/Q1459658	инженер
Виктор Фёдорович Янукович	-0.267		инженер
Ху Цзиньтао	-0.301	http://www.wikidata.org/entity/Q15029	инженер
Джеймс Кэмерон	-0.34	http://www.wikidata.org/entity/Q42574	инженер
Джордж Вашингтон	-0.351	http://www.wikidata.org/entity/Q23	инженер
Леонид Ильич Брежнев	-0.417	http://www.wikidata.org/entity/Q765165	инженер
